Job Title,Account Tier,Strength,Decision-Making Power / Seniority  ,Vertical,Sub-Vertical,Pod,Industry,Original Source,Original Source Drill-Down 1
"EVP, Direct To Consumer",5,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
,4,X ,X - Not Specified,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION
Senior Technical Consultant,4,X ,X - Not Specified,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION
Director of Cinema Intelligence,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Services,Software and Digital,Subscription,,Offline Sources,EXTENSION
,4,X ,X - Not Specified,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
Business Manager,6,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Textiles,Offline Sources,IMPORT
Head of Digital Transformation,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
,5,X ,X - Not Specified,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Offline Sources,IMPORT
,6,X ,X - Not Specified,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,IMPORT
President & CEO,6,A ,A - CEO/CXO,,,,,Direct Traffic,www.rokt.com/talk-to-an-expert
Marketing Manager,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION
"Director, B2B eCommerce",5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Director of Data & Insights,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
"GM, GameDay",4,A ,A - CEO/CXO,Services,Software and Digital,Subscription,,Offline Sources,INTEGRATION
EVP - Digital,5,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Chief Data Officer,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Paid Search,mt - ads - us - brand
Chief Financial Officer,6,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,CONTACTS
,6,X ,X - Not Specified,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
"Co-Founder, Investor, and Advisor",6,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Director Of Technology,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION
Brand & Product,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
,5,X ,X - Not Specified,Services,Software and Digital,Entertainment,Internet,Offline Sources,EXTENSION
Associate Corporate Attorney,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION
Digital Experience,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION
Chief Executive Officer,6,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Food & Beverages,Organic Search,Unknown keywords (SSL)
Technical Lead Developer,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Subscription,,Offline Sources,EXTENSION
Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Marketplace,Retail,Sporting Goods,Offline Sources,INTEGRATION
Digital & Restaurant Experience Marketing Representative,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION
Executive Director Sales & Marketing,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,CONTACTS
Customer Service Manager,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Organic Search,Unknown keywords (SSL)
Associate General Counsel,4,D ,D - Lower-level in non-relevant teams,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION
Associate General Counsel,4,D ,D - Lower-level in non-relevant teams,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION
C.E.O.,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION
Executive Vice President,6,A ,A - CEO/CXO,B2B,Marketing and Advertising,B2B,Retail,Offline Sources,EXTENSION
"Director Of Ecommerce, Digital Marketing",6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Retail,Offline Sources,EXTENSION
"Director, Brand Management",6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Retail,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Retail - Other,Retail,,Offline Sources,EXTENSION
Vice President Operations,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,INTEGRATION
Chief Executive Officer,5,A ,A - CEO/CXO,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,INTEGRATION
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,,Offline Sources,INTEGRATION
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,INTEGRATION
Software Engineer,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION
President,5,A ,A - CEO/CXO,Services,Software and Digital,Entertainment,Internet,Offline Sources,EXTENSION
E-Commerce Dept.,5,C ,C - Lower-level in relevant teams,Services,Services - Other,Subscription,Facilities Services,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Services,Services - Other,Subscription,Facilities Services,Offline Sources,EXTENSION
Marketing Director,6,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,EXTENSION
Chief Executive Officer,6,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION
CRM,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION
Ecommerce Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Chief Technology Officer,4,A ,A - CEO/CXO,Jobs and Education,Online Education,Education,E Learning,Offline Sources,EXTENSION
Digital Experience Marketing Manager,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Jobs and Education,Online Education,Education,E Learning,Offline Sources,EXTENSION
UX/UI Designer,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION
Digital experience manager,4,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Venture Capital & Private Equity,Offline Sources,EXTENSION
VP Marketing,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,INTEGRATION
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,INTEGRATION
,4,X ,X - Not Specified,Travel,Airlines,Travel,Military,Offline Sources,EXTENSION
Lead Developer,4,D ,D - Lower-level in non-relevant teams,Jobs and Education,Online Education,Education,E Learning,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Jobs and Education,Online Education,Education,E Learning,Offline Sources,EXTENSION
Vice President Digital Product and Operations,6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION
Senior Graphic Designer,6,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION
CTO,4,A ,A - CEO/CXO,Services,Software and Digital,Telco,Internet,Offline Sources,EXTENSION
Co-Founder / Partner,5,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,EXTENSION
CTO,4,A ,A - CEO/CXO,Services,Software and Digital,Telco,Internet,Offline Sources,INTEGRATION
,6,X ,X - Not Specified,Retail,Retail - Other,Electronics & Gaming,,Offline Sources,IMPORT
"Vice President, Digital & E-Commerce",4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Consumer Goods,Offline Sources,INTEGRATION
Vice President Marketing & Ecommerce,4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Consumer Goods,Offline Sources,INTEGRATION
Business Development Associate,4,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,Deals,Marketing & Advertising,Offline Sources,EXTENSION
CEO - Founder,4,A ,A - CEO/CXO,Jobs and Education,Online Education,Education,E Learning,Paid Search,mt - ads - us - brand
,5,X ,X - Not Specified,Services,Services - Other,Subscription,Facilities Services,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Services,Services - Other,Subscription,Facilities Services,Offline Sources,PRESENTATIONS
Senior Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,EXTENSION
Founder,4,A ,A - CEO/CXO,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION
Director of Purchasing,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,INTEGRATION
IT - Director / Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Executive Director | Digital & Restaurant Experience,5,A ,A - CEO/CXO,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION
Content Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Customer Experience Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Vice President Marketing,4,B ,B - SVP/VP in decision-making position,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION
Content and Social Media Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
Logistics Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Deals and Group Buying,B2B,Marketing & Advertising,Offline Sources,EXTENSION
Head of Growth,5,B ,B - SVP/VP in decision-making position,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,CONTACTS
Founder & CEO,4,A ,A - CEO/CXO,Services,Software and Digital,Telco,Internet,Paid Search,mt - ads - us - brand
Digital Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION
SVP Innovation & Partnerships,4,B ,B - SVP/VP in decision-making position,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION
CTO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION
Sales,5,C ,C - Lower-level in relevant teams,Media and Entertainment,"Music, Movies and Photography",Entertainment,,Other Campaigns,
Ecommerce Web Project Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Media and Entertainment,Fantasy Sports,Electronics & Gaming,,Offline Sources,EXTENSION
Lead Software Engineer,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION
Client Success Manager,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,INTEGRATION
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION
Product Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
Director of Product Management & Content Operations,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION
Principal Engineering Leader,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION
Software Engineer,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION
"General Counsel, Assistant Secretary, and Interim Chief Operating Officer",4,A ,A - CEO/CXO,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION
Head Of Finance,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,EXTENSION
Senior Director of Digitial Operations,6,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION
Chief Executive Officer,6,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,INTEGRATION
Marketing Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
Vice President International Business Development & Partnerships,6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Media and Entertainment,Fantasy Sports,Electronics & Gaming,,Offline Sources,CONTACTS
Technical Team Lead,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,6,F ,F - Left the company,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION
Director Of Ticketing,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Referrals,apps.rokt.com
,4,X ,X - Not Specified,Retail,Retail - Other,Deals,Consumer Goods,Offline Sources,EXTENSION
Director of Product Development and Brand Strategy,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
Senior Frontend Developer,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Subscription,,Offline Sources,EXTENSION
Thread Shop Coordinator,5,D ,D - Lower-level in non-relevant teams,Retail,"Music, Movies and Photography",Retail,Music,Offline Sources,EXTENSION
Senior Vice President of Sales and Licensing at Sony Music- The Thread Shop,5,B ,B - SVP/VP in decision-making position,Retail,"Music, Movies and Photography",Retail,Music,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Media and Entertainment,Movies,Media,,Offline Sources,EXTENSION
Director Of Development,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,INTEGRATION
"Vice President - Operations Services and Innovation, Supply Chain and Business Development",5,B ,B - SVP/VP in decision-making position,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,INTEGRATION
,4,X ,X - Not Specified,Media and Entertainment,Movies,Media,,Offline Sources,EXTENSION
"Senior Vice President, Partnerships",4,B ,B - SVP/VP in decision-making position,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION
Chief Operating Officer,6,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,EXTENSION
eCommerce Business Support Specialist,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Ecommerce Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
e-Commerce Catalog Data Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Ecommerce Merchandiser,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Head of E-Commerce Marketing,4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
eCommerce Product Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Operations Supervisor ECommerce,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
lead in E-commerce,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Senior Ecommerce Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Ecommerce Product Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Ecommerce B2C Customer Service Representative,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Sr. Manager Ecommerce Operations,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
eCommerce Account Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Director Of Ecommerce,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Manager of Ecommerce Analytics,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
President/CEO,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Ecommerce Web Project Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Senior e-Commerce Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Ecommerce Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Ecommerce B2C Customer Service Representative,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
eCommerce Sales Representative,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Chief Financial Officer,5,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Media and Entertainment,Fantasy Sports,Electronics & Gaming,,Offline Sources,PRESENTATIONS
President,4,A ,A - CEO/CXO,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION
,5,X ,X - Not Specified,Media and Entertainment,Fantasy Sports,Electronics & Gaming,,Offline Sources,EXTENSION
COO & Founder,6,A ,A - CEO/CXO,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,EXTENSION
"Director, Site Merchandising - BCBG & Maternity",6,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Services,Software and Digital,Entertainment,Internet,Offline Sources,EXTENSION
CEO & Founder,6,A ,A - CEO/CXO,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,EXTENSION
"Senior Engineer, Ecommerce Platform",4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION
CEO,6,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Referrals,apps.rokt.com
Owner,4,A ,A - CEO/CXO,Ticketing,Ticketing,Entertainment,Travel & Tourism,Offline Sources,EXTENSION
,4,X ,X - Not Specified,B2B,Marketing and Advertising,B2B,,Offline Sources,EXTENSION
DIGITAL MARKETING EXECUTIVE,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing & Advertising,Offline Sources,EXTENSION
Chief Financial Officer,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Manager,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Other Campaigns,
,5,F ,F - Left the company,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Ticketing,Ticketing,Entertainment,Travel & Tourism,Offline Sources,EXTENSION
Marketing Specialist,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES
,6,X ,X - Not Specified,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,SEQUENCES
,5,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Chief Experience Officer (CXO),4,D ,D - Lower-level in non-relevant teams,Jobs and Education,Online Education,Education,COMPUTER_SOFTWARE,Referrals,apps.rokt.com
???????,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Other Campaigns,
Director of App Development,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Subscription,,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Ecommerce Senior Qa Analyst,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Travel,Airlines,Travel,Airlines/Aviation,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
"Co-Founder, CMO",6,A ,A - CEO/CXO,Retail,Beauty and Personal Care,Retail,Cosmetics,Direct Traffic,rokt.com/
Director Of Engineering,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION
Ecommerce Manager,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION
Director of Business Intelligence,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION
CEO & Co-Founder,6,A ,A - CEO/CXO,Services,Services - Other,Subscription,Consumer Services,Referrals,wsdk.rokt.com
Co-Owner and Operations Director,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,INTEGRATION
Project Manager,4,F ,F - Left the company,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Media and Entertainment,Fantasy Sports,Electronics & Gaming,,Offline Sources,EXTENSION
"Sr. Mgr, Retention Marketing",4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,Computer Software,Offline Sources,INTEGRATION
Digital Marketing and Data Entry,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
President,6,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Direct Traffic,rokt.com/rokt-ads
Manager - Database Marketing and Analytics,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
TEG Financial Accountant,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,EXTENSION
Financial Accountant,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,EXTENSION
Vice President Information Technology,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Restaurants,Offline Sources,EXTENSION
"Director, Marketing and Partnerships",4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,INTEGRATION
