0,1,2,3,4,5,6,7,8,9,Stored Title
"EVP, Direct To Consumer",5,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION,Vice President
Director of Cinema Intelligence,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION,Director
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION,Digital Marketing Manager
Business Manager,6,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Textiles,Offline Sources,IMPORT,Business Manager
Head of Digital Transformation,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT,Head of Digital Transformation
Marketing Manager,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION,Marketing Manager
"Director, B2B eCommerce",5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Director
Director of Data & Insights,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Director
"GM, GameDay",4,A ,A - CEO/CXO,Services,Software and Digital,Subscription,,Offline Sources,INTEGRATION,General Manager
EVP - Digital,5,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Vice President
Chief Data Officer,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Paid Search,mt - ads - us - brand,Chief Data Officer
Chief Financial Officer,6,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,CONTACTS,Chief Financial Officer
"Co-Founder, Investor, and Advisor",6,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Founder
Director Of Technology,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION,Director
Brand & Product,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Brand & Product
Associate Corporate Attorney,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION,Associate Corporate Attorney
Digital Experience,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION,Digital Experience
Chief Executive Officer,6,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Food & Beverages,Organic Search,Unknown keywords (SSL),CEO
Technical Lead Developer,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Subscription,,Offline Sources,EXTENSION,Developer
Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Marketplace,Retail,Sporting Goods,Offline Sources,INTEGRATION,Director
Digital & Restaurant Experience Marketing Representative,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION,Digital & Restaurant Experience Marketing Representative
Executive Director Sales & Marketing,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,CONTACTS,Director
Customer Service Manager,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Organic Search,Unknown keywords (SSL),Customer Service Manager
Associate General Counsel,4,D ,D - Lower-level in non-relevant teams,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION,Associate General Counsel
Associate General Counsel,4,D ,D - Lower-level in non-relevant teams,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION,Associate General Counsel
C.E.O.,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION,CEO
Executive Vice President,6,A ,A - CEO/CXO,B2B,Marketing and Advertising,B2B,Retail,Offline Sources,EXTENSION,President
